module_id,cpus,overall_size,data_parts,avg_size,max_size,execution_time
1,4.0,1703379,1,1703379,1703379,0.982
1,4.0,809881,1,809881,809881,0.678
1,4.0,1711796,1,1711796,1711796,2.882
1,4.0,7219436,1,7219436,7219436,7.014
1,4.0,1489133,1,1489133,1489133,1.340
1,4.0,10077303,1,10077303,10077303,9.020
1,4.0,9805915,1,9805915,9805915,12.093
1,4.0,920246,1,920246,920246,0.877
1,4.0,848322,1,848322,848322,0.736
1,4.0,997947,1,997947,997947,0.907
1,3.5,1703379,1,1703379,1703379,1.226
1,3.5,809881,1,809881,809881,1.197
1,3.5,1711796,1,1711796,1711796,3.417
1,3.5,7219436,1,7219436,7219436,8.363
1,3.5,1489133,1,1489133,1489133,1.698
1,3.5,10077303,1,10077303,10077303,9.553
1,3.5,9805915,1,9805915,9805915,33.900
1,3.5,920246,1,920246,920246,0.940
1,3.5,848322,1,848322,848322,0.706
1,3.5,997947,1,997947,997947,1.391
1,3.0,1703379,1,1703379,1703379,1.165
1,3.0,809881,1,809881,809881,1.131
1,3.0,1711796,1,1711796,1711796,3.477
1,3.0,7219436,1,7219436,7219436,10.721
1,3.0,1489133,1,1489133,1489133,1.585
1,3.0,10077303,1,10077303,10077303,14.040
1,3.0,9805915,1,9805915,9805915,34.405
1,3.0,920246,1,920246,920246,1.210
1,3.0,848322,1,848322,848322,1.007
1,3.0,997947,1,997947,997947,1.254
1,2.5,1703379,1,1703379,1703379,2.438
1,2.5,809881,1,809881,809881,1.221
1,2.5,1711796,1,1711796,1711796,9.384
1,2.5,7219436,1,7219436,7219436,24.964
1,2.5,1489133,1,1489133,1489133,3.404
1,2.5,10077303,1,10077303,10077303,33.026
1,2.5,9805915,1,9805915,9805915,67.353
1,2.5,920246,1,920246,920246,0.942
1,2.5,848322,1,848322,848322,1.154
1,2.5,997947,1,997947,997947,0.777
1,2.0,1703379,1,1703379,1703379,2.474
1,2.0,809881,1,809881,809881,1.383
1,2.0,1711796,1,1711796,1711796,7.665
1,2.0,7219436,1,7219436,7219436,22.869
1,2.0,1489133,1,1489133,1489133,3.388
1,2.0,10077303,1,10077303,10077303,27.324
1,2.0,9805915,1,9805915,9805915,52.246
1,2.0,920246,1,920246,920246,9.228
1,2.0,848322,1,848322,848322,4.765
1,2.0,997947,1,997947,997947,2.815
1,1.5,1703379,1,1703379,1703379,2.358
1,1.5,809881,1,809881,809881,1.416
1,1.5,1711796,1,1711796,1711796,7.811
1,1.5,7219436,1,7219436,7219436,30.305
1,1.5,1489133,1,1489133,1489133,3.893
1,1.5,10077303,1,10077303,10077303,45.692
1,1.5,9805915,1,9805915,9805915,48.276
1,1.5,920246,1,920246,920246,5.846
1,1.5,848322,1,848322,848322,8.734
1,1.5,997947,1,997947,997947,5.742
1,1.0,1703379,1,1703379,1703379,4.206
1,1.0,809881,1,809881,809881,2.577
1,1.0,1711796,1,1711796,1711796,9.676
1,1.0,7219436,1,7219436,7219436,32.374
1,1.0,1489133,1,1489133,1489133,5.998
1,1.0,10077303,1,10077303,10077303,38.260
1,1.0,9805915,1,9805915,9805915,64.857
1,1.0,920246,1,920246,920246,2.204
1,1.0,848322,1,848322,848322,1.264
1,1.0,997947,1,997947,997947,2.285
1,0.5,1703379,1,1703379,1703379,9.482
1,0.5,809881,1,809881,809881,5.482
1,0.5,1711796,1,1711796,1711796,22.383
1,0.5,7219436,1,7219436,7219436,67.793
1,0.5,1489133,1,1489133,1489133,8.669
1,0.5,10077303,1,10077303,10077303,65.093
1,0.5,9805915,1,9805915,9805915,129.835
1,0.5,920246,1,920246,920246,4.959
1,0.5,848322,1,848322,848322,3.867
1,0.5,997947,1,997947,997947,12.574
2,4.0,3848868,24,160369,767095,8.574
2,4.0,1321974,6,220329,587494,1.482
2,4.0,3402711,20,170135,767095,8.081
2,4.0,2880611,14,205757,767095,5.783
2,4.0,1803667,12,150305,587494,4.250
2,4.0,1080277,8,135034,269712,1.925
2,4.0,1282273,10,128227,334670,3.462
2,4.0,2448375,16,153023,587494,4.817
2,4.0,3559261,22,161784,767095,8.662
2,4.0,3265805,18,181433,767095,7.635
2,3.5,3848868,24,160369,767095,10.419
2,3.5,1321974,6,220329,587494,1.909
2,3.5,3402711,20,170135,767095,9.378
2,3.5,2880611,14,205757,767095,7.174
2,3.5,1803667,12,150305,587494,5.432
2,3.5,1080277,8,135034,269712,2.733
2,3.5,1282273,10,128227,334670,4.589
2,3.5,2448375,16,153023,587494,5.964
2,3.5,3559261,22,161784,767095,10.882
2,3.5,3265805,18,181433,767095,10.008
2,3.0,3848868,24,160369,767095,17.654
2,3.0,1321974,6,220329,587494,2.611
2,3.0,3402711,20,170135,767095,13.526
2,3.0,2880611,14,205757,767095,8.007
2,3.0,1803667,12,150305,587494,5.781
2,3.0,1080277,8,135034,269712,3.090
2,3.0,1282273,10,128227,334670,4.265
2,3.0,2448375,16,153023,587494,7.355
2,3.0,3559261,22,161784,767095,12.899
2,3.0,3265805,18,181433,767095,11.403
