app_id,cpus,overall_size,parts,element_avg_size,element_max_size,execution_time
1,4.0,10077303,3948.0,2552,2552,26.548
1,4.0,1711796,1392.0,1229,1229,11.371
1,1.5,1711796,1392.0,1229,1229,19.25
1,1.0,848322,274.0,3096,3096,2.4
1,4.0,809881,548.0,1477,1477,1.981
1,1.0,809881,548.0,1477,1477,2.472
1,2.0,848322,274.0,3096,3096,1.787
1,4.0,997947,324.0,3080,3080,3.948
1,1.5,9805915,805.0,12181,12181,37.179
1,3.0,1711796,1392.0,1229,1229,8.47
1,1.0,1703379,544.0,3131,3131,5.313
1,3.0,9805915,805.0,12181,12181,39.694
1,2.0,9805915,805.0,12181,12181,33.421
1,2.5,848322,274.0,3096,3096,1.677
1,4.0,1703379,544.0,3131,3131,3.909
1,0.5,997947,324.0,3080,3080,15.189
1,1.5,848322,274.0,3096,3096,1.716
1,0.5,1703379,544.0,3131,3131,24.456
1,3.5,7219436,3303.0,2185,2185,20.544
1,4.0,9805915,805.0,12181,12181,31.655
1,2.0,7219436,3303.0,2185,2185,27.986
1,2.5,1711796,1392.0,1229,1229,8.327
1,3.5,9805915,805.0,12181,12181,32.691
1,3.0,809881,548.0,1477,1477,1.664
1,3.5,1711796,1392.0,1229,1229,8.353
1,4.0,1489133,685.0,2173,2173,4.05
1,1.0,920246,249.0,3695,3695,2.32
1,2.0,1489133,685.0,2173,2173,3.275
1,2.5,920246,249.0,3695,3695,1.531
1,3.5,997947,324.0,3080,3080,1.969
1,2.5,10077303,3948.0,2552,2552,24.956
1,2.0,1703379,544.0,3131,3131,5.474
1,3.5,1703379,544.0,3131,3131,3.888
1,0.5,1489133,685.0,2173,2173,21.33
1,3.0,7219436,3303.0,2185,2185,20.799
1,1.0,7219436,3303.0,2185,2185,33.813
1,3.0,920246,249.0,3695,3695,1.527
1,2.5,809881,548.0,1477,1477,1.582
1,1.5,1489133,685.0,2173,2173,3.631
1,2.0,10077303,3948.0,2552,2552,24.996
2,4.0,1080277,8.0,135034,269712,1.925
2,4.0,3402711,20.0,170135,767095,8.081
2,1.5,3402711,20.0,170135,767095,35.278
2,1.0,3559261,22.0,161784,767095,48.39
2,4.0,1321974,6.0,220329,587494,1.482
2,1.0,1321974,6.0,220329,587494,13.6
2,2.0,3559261,22.0,161784,767095,25.821
2,4.0,3265805,18.0,181433,767095,7.635
2,1.5,1282273,10.0,128227,334670,11.207
2,3.0,3402711,20.0,170135,767095,13.526
2,1.0,3848868,24.0,160369,767095,69.006
2,3.0,1282273,10.0,128227,334670,4.265
2,2.0,1282273,10.0,128227,334670,9.724
2,2.5,3559261,22.0,161784,767095,17.651
2,4.0,3848868,24.0,160369,767095,8.574
2,0.5,3265805,18.0,181433,767095,64.795
2,1.5,3559261,22.0,161784,767095,38.675
2,0.5,3848868,24.0,160369,767095,96.906
2,3.5,2880611,14.0,205757,767095,7.174
2,4.0,1282273,10.0,128227,334670,3.462
2,2.0,2880611,14.0,205757,767095,17.986
2,2.5,3402711,20.0,170135,767095,20.63
2,3.5,1282273,10.0,128227,334670,4.589
2,3.0,1321974,6.0,220329,587494,2.611
2,3.5,3402711,20.0,170135,767095,9.378
2,4.0,1803667,12.0,150305,587494,4.25
2,1.0,2448375,16.0,153023,587494,31.694
2,2.0,1803667,12.0,150305,587494,13.29
2,2.5,2448375,16.0,153023,587494,10.359
2,3.5,3265805,18.0,181433,767095,10.008
2,2.5,1080277,8.0,135034,269712,4.601
2,2.0,3848868,24.0,160369,767095,28.557
2,3.5,3848868,24.0,160369,767095,10.419
2,0.5,1803667,12.0,150305,587494,41.3
2,3.0,2880611,14.0,205757,767095,8.007
2,1.0,2880611,14.0,205757,767095,52.302
2,3.0,2448375,16.0,153023,587494,7.355
2,2.5,1321974,6.0,220329,587494,3.367
2,1.5,1803667,12.0,150305,587494,12.186
2,2.0,1080277,8.0,135034,269712,8.725
3,3.0,1866,4.0,466,466,0.671
3,3.5,3907,4.0,976,976,2.016
3,3.5,10230,8.0,1278,1278,3.074
3,1.5,10230,8.0,1278,1278,5.191
3,4.0,1866,4.0,466,466,0.648
3,2.5,5068,8.0,633,633,0.649
3,4.0,10230,8.0,1278,1278,3.026
3,2.0,1866,4.0,466,466,0.992
3,3.0,10230,8.0,1278,1278,2.876
3,1.0,240876,17.0,14169,14169,9.635
3,2.5,10230,8.0,1278,1278,3.692
3,4.0,4041207,1570.0,2574,2574,185.983
3,0.5,479518,17.0,28206,28206,39.703
3,2.0,4041207,1570.0,2574,2574,268.257
3,4.0,3907,4.0,976,976,1.906
3,0.5,11884,8.0,1485,1485,11.5
3,3.0,23775,8.0,2971,2971,2.033
3,1.5,23775,8.0,2971,2971,3.813
3,1.0,1866,4.0,466,466,1.514
3,2.5,3907,4.0,976,976,2.475
3,1.0,479518,17.0,28206,28206,13.991
3,3.0,4041207,1570.0,2574,2574,198.923
3,4.0,240876,17.0,14169,14169,3.531
3,1.5,240876,17.0,14169,14169,9.927
3,1.0,3907,4.0,976,976,4.761
3,3.0,3907,4.0,976,976,1.963
3,2.0,11884,8.0,1485,1485,1.856
3,1.0,4041207,1570.0,2574,2574,408.236
3,2.0,479518,17.0,28206,28206,9.182
3,2.5,240876,17.0,14169,14169,5.295
3,2.5,4041207,1570.0,2574,2574,235.05
3,1.5,479518,17.0,28206,28206,13.016
3,1.5,3907,4.0,976,976,3.857
3,1.0,23775,8.0,2971,2971,4.939
3,0.5,240876,17.0,14169,14169,28.09
3,2.5,11884,8.0,1485,1485,1.6
3,3.5,2019354,1570.0,1286,1286,45.526
3,3.0,479518,17.0,28206,28206,7.359
3,3.5,23775,8.0,2971,2971,1.914
3,0.5,2019354,1570.0,1286,1286,243.139
4,4.0,16162650,324.0,49884,51988,4.292
4,4.0,42433106,544.0,78002,133085,6.13
4,1.5,42433106,544.0,78002,133085,35.244
4,1.0,15496975,274.0,56558,89862,30.838
4,4.0,30622827,1392.0,21999,42012,11.497
4,1.0,30622827,1392.0,21999,42012,63.993
4,2.0,15496975,274.0,56558,89862,14.31
4,4.0,302896266,601.0,503987,587278,93.644
4,1.5,10720307,548.0,19562,23809,14.042
4,3.0,42433106,544.0,78002,133085,13.15
4,1.0,155722951,3948.0,39443,73336,374.699
4,3.0,10720307,548.0,19562,23809,6.484
4,2.0,10720307,548.0,19562,23809,10.621
4,2.5,15496975,274.0,56558,89862,11.456
4,4.0,155722951,3948.0,39443,73336,42.789
4,0.5,302896266,601.0,503987,587278,1196.069
4,1.5,15496975,274.0,56558,89862,18.385
4,0.5,155722951,3948.0,39443,73336,818.788
4,3.5,121433829,3303.0,36764,50716,42.558
4,4.0,10720307,548.0,19562,23809,2.289
4,2.0,121433829,3303.0,36764,50716,169.429
4,2.5,42433106,544.0,78002,133085,20.542
4,3.5,10720307,548.0,19562,23809,2.441
4,3.0,30622827,1392.0,21999,42012,12.013
4,3.5,42433106,544.0,78002,133085,6.292
4,4.0,13267852,249.0,53284,64886,7.444
4,1.0,22953357,685.0,33508,45755,46.988
4,2.0,13267852,249.0,53284,64886,16.26
4,2.5,22953357,685.0,33508,45755,17.532
4,3.5,302896266,601.0,503987,587278,151.541
